county,office,district,party,candidate,votes
Barrington,PRESIDENTIAL ELECTORS FOR:,,,Total,9556
Barrington,PRESIDENTIAL ELECTORS FOR:,,DEM,Barack OBAMA,5557
Barrington,PRESIDENTIAL ELECTORS FOR:,,REP,Mitt ROMNEY,3836
Barrington,PRESIDENTIAL ELECTORS FOR:,,Lib,Gary JOHNSON,76
Barrington,PRESIDENTIAL ELECTORS FOR:,,GRN,Jill STEIN,56
Barrington,PRESIDENTIAL ELECTORS FOR:,,NON,WRITE-IN,16
Barrington,PRESIDENTIAL ELECTORS FOR:,,Con,Virgil GOODE,6
Barrington,PRESIDENTIAL ELECTORS FOR:,,Jus,Ross C. &quot;Rocky&quot; ANDERSON,6
Barrington,PRESIDENTIAL ELECTORS FOR:,,SL,Peta LINDSAY,3
Barrington,SENATOR IN CONGRESS,,,Total,9030
Barrington,SENATOR IN CONGRESS,,DEM,Sheldon WHITEHOUSE,5482
Barrington,SENATOR IN CONGRESS,,REP,"B. Barrett HINCKLEY, III",3534
Barrington,SENATOR IN CONGRESS,,NON,WRITE-IN,14
Barrington,REPRESENTATIVE IN CONGRESS DISTRICT 1,,,Total,9312
Barrington,REPRESENTATIVE IN CONGRESS DISTRICT 1,,REP,Brendan P. DOHERTY,4635
Barrington,REPRESENTATIVE IN CONGRESS DISTRICT 1,,DEM,David N. CICILLINE,4082
Barrington,REPRESENTATIVE IN CONGRESS DISTRICT 1,,IND,David S. VOGEL,586
Barrington,REPRESENTATIVE IN CONGRESS DISTRICT 1,,NON,WRITE-IN,9
Barrington,SENATOR IN GENERAL ASSEMBLY DISTRICT 32,,,Total,6624
Barrington,SENATOR IN GENERAL ASSEMBLY DISTRICT 32,,REP,David E. BATES,6438
Barrington,SENATOR IN GENERAL ASSEMBLY DISTRICT 32,,NON,WRITE-IN,186
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 66,,,Total,5161
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 66,,DEM,Joy HEARN,3092
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 66,,REP,"Manfred DIEL, JR.",1824
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 66,,IND,Eugene P. SAVEORY,241
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 66,,NON,WRITE-IN,4
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 67,,,Total,3880
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 67,,REP,"Peter Davis COSTA, JR.",2066
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 67,,DEM,Jan P. MALIK,1809
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 67,,NON,WRITE-IN,5
Barrington,MODERATOR TOWN OF BARRINGTON,,,Total,6926
Barrington,MODERATOR TOWN OF BARRINGTON,,DEM,Julia P. CALIFANO,6825
Barrington,MODERATOR TOWN OF BARRINGTON,,NON,WRITE-IN,101
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,,,Total,24606
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,,DEM,June S. SPEAKMAN,5078
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,,DEM,Kate G. WEYMOUTH,4614
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,,DEM,Ann P. STRONG,4064
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,,REP,Margaret E. KANE,3926
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,,REP,Donald S. NESSING,3537
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,,REP,Shirley APPLEGATE-LOCKRIDGE,3363
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,,NON,WRITE-IN,24
Barrington,SCHOOL COMMITTEE TOWN OF BARRINGTON,,,Total,23179
Barrington,SCHOOL COMMITTEE TOWN OF BARRINGTON,,REP,Patrick A. GUIDA,5585
Barrington,SCHOOL COMMITTEE TOWN OF BARRINGTON,,DEM,"Robert E. SHEA, JR.",4848
Barrington,SCHOOL COMMITTEE TOWN OF BARRINGTON,,DEM,Paula S. DOMINGUEZ,4813
Barrington,SCHOOL COMMITTEE TOWN OF BARRINGTON,,REP,Meaghan C. RAMSDEN,4081
Barrington,SCHOOL COMMITTEE TOWN OF BARRINGTON,,REP,Christopher M. RAMSDEN,3803
Barrington,SCHOOL COMMITTEE TOWN OF BARRINGTON,,NON,WRITE-IN,49
Barrington,QUESTION 1 - TWIN RIVER CASINO,,,Total,9067
Barrington,QUESTION 1 - TWIN RIVER CASINO,,NON,Question 1 APPROVE,5832
Barrington,QUESTION 1 - TWIN RIVER CASINO,,NON,Question 1 REJECT,3235
Barrington,QUESTION 2 - NEWPORT GRAND,,,Total,9046
Barrington,QUESTION 2 - NEWPORT GRAND,,NON,Question 2 APPROVE,5550
Barrington,QUESTION 2 - NEWPORT GRAND,,NON,Question 2 REJECT,3496
Barrington,QUESTION 3 - HIGHER EDUCATION FACILITIES,,,Total,8907
Barrington,QUESTION 3 - HIGHER EDUCATION FACILITIES,,NON,Question 3 APPROVE,6301
Barrington,QUESTION 3 - HIGHER EDUCATION FACILITIES,,NON,Question 3 REJECT,2606
Barrington,QUESTION 4 - VETERANS&#39; HOME BONDS,,,Total,8851
Barrington,QUESTION 4 - VETERANS&#39; HOME BONDS,,NON,Question 4 APPROVE,6548
Barrington,QUESTION 4 - VETERANS&#39; HOME BONDS,,NON,Question 4 REJECT,2303
Barrington,QUESTION 5 - CLEAN WATER BONDS,,,Total,8847
Barrington,QUESTION 5 - CLEAN WATER BONDS,,NON,Question 5 APPROVE,7034
Barrington,QUESTION 5 - CLEAN WATER BONDS,,NON,Question 5 REJECT,1813
Barrington,QUESTION 6 - ENVIRONMENTAL MANAGEMENT BONDS,,,Total,8913
Barrington,QUESTION 6 - ENVIRONMENTAL MANAGEMENT BONDS,,NON,Question 6 APPROVE,6570
Barrington,QUESTION 6 - ENVIRONMENTAL MANAGEMENT BONDS,,NON,Question 6 REJECT,2343
Barrington,QUESTION 7 - CAPITAL IMPROVEMENT PROJECTS,,,Total,8944
Barrington,QUESTION 7 - CAPITAL IMPROVEMENT PROJECTS,,NON,Question 7 REJECT,4817
Barrington,QUESTION 7 - CAPITAL IMPROVEMENT PROJECTS,,NON,Question 7 APPROVE,4127
Bristol,PRESIDENTIAL ELECTORS FOR:,,,Total,10267
Bristol,PRESIDENTIAL ELECTORS FOR:,,DEM,Barack OBAMA,6359
Bristol,PRESIDENTIAL ELECTORS FOR:,,REP,Mitt ROMNEY,3707
Bristol,PRESIDENTIAL ELECTORS FOR:,,Lib,Gary JOHNSON,105
