town,office,party,candidate,votes
Barrington,SENATOR IN CONGRESS,DEM,John F. REED,5047
Barrington,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,2012
Barrington,SENATOR IN CONGRESS,NON,WRITE-IN,9
Barrington,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEM,David N. CICILLINE,3668
Barrington,REPRESENTATIVE IN CONGRESS DISTRICT 1,REP,Cormick Brendan LYNCH,3346
Barrington,REPRESENTATIVE IN CONGRESS DISTRICT 1,NON,WRITE-IN,16
Barrington,GOVERNOR,DEM,Gina M. RAIMONDO,3566
Barrington,GOVERNOR,REP,Allan W. FUNG,2022
Barrington,GOVERNOR,MOD,"Robert J. HEALEY, JR.",1554
Barrington,GOVERNOR,IND,Kate L. FLETCHER,32
Barrington,GOVERNOR,NON,WRITE-IN,13
Barrington,GOVERNOR,IND,Leon M. KAYARIAN,5
Barrington,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,3283
Barrington,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,2761
Barrington,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,595
Barrington,LIEUTENANT GOVERNOR,Lib,Tony JONES,227
Barrington,LIEUTENANT GOVERNOR,NON,WRITE-IN,27
Barrington,SECRETARY OF STATE,DEM,Nellie M. GORBEA,3997
Barrington,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",2854
Barrington,SECRETARY OF STATE,NON,WRITE-IN,8
Barrington,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,3859
Barrington,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,3077
Barrington,ATTORNEY GENERAL,NON,WRITE-IN,7
Barrington,GENERAL TREASURER,DEM,Seth MAGAZINER,4178
Barrington,GENERAL TREASURER,IND,Ernest A. ALMONTE,2571
Barrington,GENERAL TREASURER,NON,WRITE-IN,7
Barrington,SENATOR IN GENERAL ASSEMBLY DISTRICT 32,DEM,Cynthia Armour COYNE,3590
Barrington,SENATOR IN GENERAL ASSEMBLY DISTRICT 32,REP,Giovanni D. CICIONE,3345
Barrington,SENATOR IN GENERAL ASSEMBLY DISTRICT 32,NON,WRITE-IN,15
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 66,DEM,Joy HEARN,2444
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 66,IND,Joel HELLMANN,1345
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 66,NON,WRITE-IN,8
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 67,DEM,Jan P. MALIK,2229
Barrington,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 67,NON,WRITE-IN,76
Barrington,MODERATOR TOWN OF BARRINGTON,DEM,Julia P. CALIFANO,5383
Barrington,MODERATOR TOWN OF BARRINGTON,NON,WRITE-IN,98
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,REP,Stephen B. PRIMIANO,4016
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,DEM,Michael W. CARROLL,3198
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,REP,Donald S. NESSING,2988
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,DEM,"William C. LAYTON, III",2185
Barrington,TOWN COUNCIL TOWN OF BARRINGTON,NON,WRITE-IN,14
Barrington,SCHOOL COMMITTEE TOWN OF BARRINGTON,DEM,Kate D. BRODY,4735
Barrington,SCHOOL COMMITTEE TOWN OF BARRINGTON,REP,"John D. ALESSANDRO, JR.",3902
Barrington,SCHOOL COMMITTEE TOWN OF BARRINGTON,NON,WRITE-IN,80
Barrington,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,3584
Barrington,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,3417
Barrington,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,5227
Barrington,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,1634
Barrington,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,3461
Barrington,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,3331
Barrington,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,4663
Barrington,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,2097
