town,office,party,candidate,votes
Barrington,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,4594
Barrington,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,2358
Barrington,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,4491
Barrington,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,2168
Barrington,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,5024
Barrington,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,1698
Barrington,QUESTION 8 - TOWN OF BARRINGTON,NON,Question 8 APPROVE,4494
Barrington,QUESTION 8 - TOWN OF BARRINGTON,NON,Question 8 REJECT,2055
Barrington,QUESTION 9 - TOWN OF BARRINGTON,NON,Question 9 APPROVE,3005
Barrington,QUESTION 9 - TOWN OF BARRINGTON,NON,Question 9 REJECT,2670
Barrington,QUESTION 10 - TOWN OF BARRINGTON,NON,Question 10 APPROVE,5251
Barrington,QUESTION 10 - TOWN OF BARRINGTON,NON,Question 10 REJECT,1019
Barrington,QUESTION 11 - TOWN OF BARRINGTON,NON,Question 11 APPROVE,4890
Barrington,QUESTION 11 - TOWN OF BARRINGTON,NON,Question 11 REJECT,1224
Barrington,QUESTION 12 - TOWN OF BARRINGTON,NON,Question 12 REJECT,3657
Barrington,QUESTION 12 - TOWN OF BARRINGTON,NON,Question 12 APPROVE,2859
Barrington,QUESTION 13 - TOWN OF BARRINGTON,NON,Question 13 APPROVE,4560
Barrington,QUESTION 13 - TOWN OF BARRINGTON,NON,Question 13 REJECT,1960
Barrington,QUESTION 14 - TOWN OF BARRINGTON,NON,Question 14 REJECT,3530
Barrington,QUESTION 14 - TOWN OF BARRINGTON,NON,Question 14 APPROVE,3182
Barrington,QUESTION 15 - TOWN OF BARRINGTON,NON,Question 15 APPROVE,6232
Barrington,QUESTION 15 - TOWN OF BARRINGTON,NON,Question 15 REJECT,516
Barrington,QUESTION 16 - TOWN OF BARRINGTON,NON,Question 16 APPROVE,5897
Barrington,QUESTION 16 - TOWN OF BARRINGTON,NON,Question 16 REJECT,666
Barrington,QUESTION 17 - TOWN OF BARRINGTON,NON,Question 17 REJECT,4476
Barrington,QUESTION 17 - TOWN OF BARRINGTON,NON,Question 17 APPROVE,2242
Barrington,QUESTION 18 - TOWN OF BARRINGTON,NON,Question 18 REJECT,3232
Barrington,QUESTION 18 - TOWN OF BARRINGTON,NON,Question 18 APPROVE,2786
Barrington,QUESTION 19 - TOWN OF BARRINGTON,NON,Question 19 APPROVE,4109
Barrington,QUESTION 19 - TOWN OF BARRINGTON,NON,Question 19 REJECT,2379
Barrington,QUESTION 20 - TOWN OF BARRINGTON,NON,Question 20 APPROVE,3531
Barrington,QUESTION 20 - TOWN OF BARRINGTON,NON,Question 20 REJECT,2896
Barrington,QUESTION 21 - TOWN OF BARRINGTON,NON,Question 21 APPROVE,3538
Barrington,QUESTION 21 - TOWN OF BARRINGTON,NON,Question 21 REJECT,2439
Barrington,QUESTION 22 - TOWN OF BARRINGTON,NON,Question 22 REJECT,4137
Barrington,QUESTION 22 - TOWN OF BARRINGTON,NON,Question 22 APPROVE,2087
Barrington,QUESTION 23 - TOWN OF BARRINGTON,NON,Question 23 APPROVE,4535
Barrington,QUESTION 23 - TOWN OF BARRINGTON,NON,Question 23 REJECT,1721
Barrington,QUESTION 24 - TOWN OF BARRINGTON,NON,Question 24 APPROVE,4499
Barrington,QUESTION 24 - TOWN OF BARRINGTON,NON,Question 24 REJECT,1952
Barrington,QUESTION 25 - TOWN OF BARRINGTON,NON,Question 25 APPROVE,5838
Barrington,QUESTION 25 - TOWN OF BARRINGTON,NON,Question 25 REJECT,633
Barrington,QUESTION 26 - TOWN OF BARRINGTON,NON,Question 26 APPROVE,4600
Barrington,QUESTION 26 - TOWN OF BARRINGTON,NON,Question 26 REJECT,2047
Barrington,QUESTION 27 - TOWN OF BARRINGTON,NON,Question 27 APPROVE,5678
Barrington,QUESTION 27 - TOWN OF BARRINGTON,NON,Question 27 REJECT,722
Barrington,QUESTION 28 - TOWN OF BARRINGTON,NON,Question 28 APPROVE,4190
Barrington,QUESTION 28 - TOWN OF BARRINGTON,NON,Question 28 REJECT,1896
Barrington,QUESTION 29 - TOWN OF BARRINGTON,NON,Question 29 APPROVE,5356
Barrington,QUESTION 29 - TOWN OF BARRINGTON,NON,Question 29 REJECT,838
Barrington,QUESTION 30 - TOWN OF BARRINGTON,NON,Question 30 APPROVE,5390
Barrington,QUESTION 30 - TOWN OF BARRINGTON,NON,Question 30 REJECT,815
Barrington,QUESTION 31 - TOWN OF BARRINGTON,NON,Question 31 APPROVE,3264
Barrington,QUESTION 31 - TOWN OF BARRINGTON,NON,Question 31 REJECT,2847
Barrington,QUESTION 32 - TOWN OF BARRINGTON,NON,Question 32 REJECT,4081
Barrington,QUESTION 32 - TOWN OF BARRINGTON,NON,Question 32 APPROVE,2414
Barrington,QUESTION 33 - TOWN OF BARRINGTON,NON,Question 33 APPROVE,6216
Barrington,QUESTION 33 - TOWN OF BARRINGTON,NON,Question 33 REJECT,399
Barrington,QUESTION 34 - TOWN OF BARRINGTON,NON,Question 34 APPROVE,4254
Barrington,QUESTION 34 - TOWN OF BARRINGTON,NON,Question 34 REJECT,2033
Barrington,QUESTION 35 - TOWN OF BARRINGTON,NON,Question 35 APPROVE,4487
Barrington,QUESTION 35 - TOWN OF BARRINGTON,NON,Question 35 REJECT,1476
Barrington,QUESTION 36 - TOWN OF BARRINGTON,NON,Question 36 APPROVE,3298
Barrington,QUESTION 36 - TOWN OF BARRINGTON,NON,Question 36 REJECT,2987
Barrington,QUESTION 37 - TOWN OF BARRINGTON,NON,Question 37 APPROVE,3895
Barrington,QUESTION 37 - TOWN OF BARRINGTON,NON,Question 37 REJECT,2703
Barrington,QUESTION 38 - TOWN OF BARRINGTON,NON,Question 38 APPROVE,5554
Barrington,QUESTION 38 - TOWN OF BARRINGTON,NON,Question 38 REJECT,831
Barrington,QUESTION 39 - TOWN OF BARRINGTON,NON,Question 39 APPROVE,4172
Barrington,QUESTION 39 - TOWN OF BARRINGTON,NON,Question 39 REJECT,1980
Barrington,QUESTION 40 - TOWN OF BARRINGTON,NON,Question 40 APPROVE,4602
Barrington,QUESTION 40 - TOWN OF BARRINGTON,NON,Question 40 REJECT,1326
Barrington,QUESTION 41 - TOWN OF BARRINGTON,NON,Question 41 APPROVE,5089
Barrington,QUESTION 41 - TOWN OF BARRINGTON,NON,Question 41 REJECT,870
Barrington,QUESTION 42 - TOWN OF BARRINGTON,NON,Question 42 APPROVE,4215
Barrington,QUESTION 42 - TOWN OF BARRINGTON,NON,Question 42 REJECT,1762
Barrington,QUESTION 43 - TOWN OF BARRINGTON,NON,Question 43 REJECT,3090
Barrington,QUESTION 43 - TOWN OF BARRINGTON,NON,Question 43 APPROVE,3078
Barrington,QUESTION 44 - TOWN OF BARRINGTON,NON,Question 44 APPROVE,5379
Barrington,QUESTION 44 - TOWN OF BARRINGTON,NON,Question 44 REJECT,752
Barrington,QUESTION 45 - TOWN OF BARRINGTON,NON,Question 45 REJECT,3571
Barrington,QUESTION 45 - TOWN OF BARRINGTON,NON,Question 45 APPROVE,2656
Barrington,QUESTION 46 - TOWN OF BARRINGTON,NON,Question 46 APPROVE,5236
Barrington,QUESTION 46 - TOWN OF BARRINGTON,NON,Question 46 REJECT,845
Barrington,QUESTION 47 - TOWN OF BARRINGTON,NON,Question 47 APPROVE,5468
Barrington,QUESTION 47 - TOWN OF BARRINGTON,NON,Question 47 REJECT,911
Bristol,SENATOR IN CONGRESS,DEM,John F. REED,5183
Bristol,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,1947
Bristol,SENATOR IN CONGRESS,NON,WRITE-IN,15
Bristol,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEM,David N. CICILLINE,4104
Bristol,REPRESENTATIVE IN CONGRESS DISTRICT 1,REP,Cormick Brendan LYNCH,3042
Bristol,REPRESENTATIVE IN CONGRESS DISTRICT 1,NON,WRITE-IN,23
Bristol,GOVERNOR,MOD,"Robert J. HEALEY, JR.",2709
Bristol,GOVERNOR,DEM,Gina M. RAIMONDO,2628
Bristol,GOVERNOR,REP,Allan W. FUNG,1959
Bristol,GOVERNOR,IND,Kate L. FLETCHER,55
Bristol,GOVERNOR,IND,Leon M. KAYARIAN,13
Bristol,GOVERNOR,NON,WRITE-IN,7
Bristol,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,3608
Bristol,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,2294
Bristol,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,777
Bristol,LIEUTENANT GOVERNOR,Lib,Tony JONES,223
Bristol,LIEUTENANT GOVERNOR,NON,WRITE-IN,44
Bristol,SECRETARY OF STATE,DEM,Nellie M. GORBEA,4343
Bristol,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",2576
Bristol,SECRETARY OF STATE,NON,WRITE-IN,15
Bristol,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,3967
Bristol,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,3039
Bristol,ATTORNEY GENERAL,NON,WRITE-IN,11
Bristol,GENERAL TREASURER,DEM,Seth MAGAZINER,4655
Bristol,GENERAL TREASURER,IND,Ernest A. ALMONTE,2356
Bristol,GENERAL TREASURER,NON,WRITE-IN,11
Bristol,SENATOR IN GENERAL ASSEMBLY DISTRICT 10,DEM,"Walter S. FELAG, JR.",2271
Bristol,SENATOR IN GENERAL ASSEMBLY DISTRICT 10,NON,WRITE-IN,38
Bristol,SENATOR IN GENERAL ASSEMBLY DISTRICT 11,REP,Christopher Scott OTTIANO,946
Bristol,SENATOR IN GENERAL ASSEMBLY DISTRICT 11,IND,Taylor A. DAME,549
Bristol,SENATOR IN GENERAL ASSEMBLY DISTRICT 11,NON,WRITE-IN,4
Bristol,SENATOR IN GENERAL ASSEMBLY DISTRICT 32,DEM,Cynthia Armour COYNE,1424
Bristol,SENATOR IN GENERAL ASSEMBLY DISTRICT 32,REP,Giovanni D. CICIONE,1199
Bristol,SENATOR IN GENERAL ASSEMBLY DISTRICT 32,NON,WRITE-IN,7
Bristol,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 68,DEM,Kenneth A. MARSHALL,2974
Bristol,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 68,NON,WRITE-IN,65
Bristol,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 69,DEM,"Raymond E. GALLISON, JR.",2891
Bristol,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 69,NON,WRITE-IN,49
Bristol,TOWN ADMINISTRATOR TOWN OF BRISTOL,IND,Antonio A. TEIXEIRA,5922
Bristol,TOWN ADMINISTRATOR TOWN OF BRISTOL,NON,WRITE-IN,151
Bristol,TOWN CLERK TOWN OF BRISTOL,REP,Louis P. CIRILLO,6024
Bristol,TOWN CLERK TOWN OF BRISTOL,NON,WRITE-IN,38
Bristol,TOWN COUNCIL TOWN OF BRISTOL,DEM,Timothy Edward SWEENEY,4800
Bristol,TOWN COUNCIL TOWN OF BRISTOL,REP,Mary A. PARELLA,4274
Bristol,TOWN COUNCIL TOWN OF BRISTOL,DEM,Nathan T. CALOURO,4219
Bristol,TOWN COUNCIL TOWN OF BRISTOL,DEM,"Edward P. STUART, JR.",3994
Bristol,TOWN COUNCIL TOWN OF BRISTOL,REP,Halsey C. HERRESHOFF,3923
Bristol,TOWN COUNCIL TOWN OF BRISTOL,DEM,Susan R. DONOVAN,3890
Bristol,TOWN COUNCIL TOWN OF BRISTOL,DEM,Ethan M. TUCKER,3374
Bristol,TOWN COUNCIL TOWN OF BRISTOL,REP,William L. Sousa GRAPENTINE,2097
Bristol,TOWN COUNCIL TOWN OF BRISTOL,NON,WRITE-IN,64
Bristol,NON-PARTISAN REGIONAL SCHOOL COMMITTEE TOWN OF BRISTOL,NON,Paul SILVA,4768
Bristol,NON-PARTISAN REGIONAL SCHOOL COMMITTEE TOWN OF BRISTOL,NON,Diane B. CAMPBELL,4657
Bristol,NON-PARTISAN REGIONAL SCHOOL COMMITTEE TOWN OF BRISTOL,NON,William M. O&#39;DELL,4209
Bristol,NON-PARTISAN REGIONAL SCHOOL COMMITTEE TOWN OF BRISTOL,NON,WRITE-IN,96
Bristol,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,4451
Bristol,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,2634
Bristol,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,4955
Bristol,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,1927
Bristol,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,3603
Bristol,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,3178
Bristol,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,4111
Bristol,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,2509
Bristol,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,4146
Bristol,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,2787
Bristol,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,4072
Bristol,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,2444
Bristol,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,4880
Bristol,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,1886
Bristol,QUESTION 8 - TOWN OF BRISTOL,NON,Question 8 APPROVE,3868
Bristol,QUESTION 8 - TOWN OF BRISTOL,NON,Question 8 REJECT,2755
Burrillville,SENATOR IN CONGRESS,DEM,John F. REED,2924
Burrillville,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,1672
Burrillville,SENATOR IN CONGRESS,NON,WRITE-IN,6
Burrillville,REPRESENTATIVE IN CONGRESS DISTRICT 2,DEM,James R. LANGEVIN,2680
Burrillville,REPRESENTATIVE IN CONGRESS DISTRICT 2,REP,Rhue R. REIS,1901
Burrillville,REPRESENTATIVE IN CONGRESS DISTRICT 2,NON,WRITE-IN,5
Burrillville,GOVERNOR,REP,Allan W. FUNG,1861
Burrillville,GOVERNOR,MOD,"Robert J. HEALEY, JR.",1371
Burrillville,GOVERNOR,DEM,Gina M. RAIMONDO,1334
Burrillville,GOVERNOR,IND,Kate L. FLETCHER,72
Burrillville,GOVERNOR,IND,Leon M. KAYARIAN,22
Burrillville,GOVERNOR,NON,WRITE-IN,10
Burrillville,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,2151
Burrillville,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,1627
Burrillville,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,557
Burrillville,LIEUTENANT GOVERNOR,Lib,Tony JONES,170
Burrillville,LIEUTENANT GOVERNOR,NON,WRITE-IN,13
Burrillville,SECRETARY OF STATE,DEM,Nellie M. GORBEA,2269
Burrillville,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",2185
Burrillville,SECRETARY OF STATE,NON,WRITE-IN,13
Burrillville,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,2341
Burrillville,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,2195
Burrillville,ATTORNEY GENERAL,NON,WRITE-IN,4
Burrillville,GENERAL TREASURER,DEM,Seth MAGAZINER,2281
Burrillville,GENERAL TREASURER,IND,Ernest A. ALMONTE,2160
Burrillville,GENERAL TREASURER,NON,WRITE-IN,3
Burrillville,SENATOR IN GENERAL ASSEMBLY DISTRICT 23,DEM,Paul W. FOGARTY,2662
Burrillville,SENATOR IN GENERAL ASSEMBLY DISTRICT 23,IND,Lauri A. ARCHAMBAULT,1803
Burrillville,SENATOR IN GENERAL ASSEMBLY DISTRICT 23,NON,WRITE-IN,6
Burrillville,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 47,DEM,Cale P. KEABLE,2885
Burrillville,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 47,NON,WRITE-IN,140
Burrillville,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 48,REP,Brian C. NEWBERRY,575
Burrillville,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 48,DEM,Steven F. GAMACHE,223
Burrillville,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 48,NON,WRITE-IN,1
Burrillville,TOWN COUNCIL TOWN OF BURRILLVILLE,REP,Donald A. FOX,2434
Burrillville,TOWN COUNCIL TOWN OF BURRILLVILLE,REP,David J. PLACE,2073
Burrillville,TOWN COUNCIL TOWN OF BURRILLVILLE,DEM,Michelle D. BOUCHARD,1982
Burrillville,TOWN COUNCIL TOWN OF BURRILLVILLE,REP,Stephen N. RAWSON,1814
Burrillville,TOWN COUNCIL TOWN OF BURRILLVILLE,DEM,Edward J. BLANCHARD,1790
Burrillville,TOWN COUNCIL TOWN OF BURRILLVILLE,REP,"Edmund A. VARIN, JR.",1702
Burrillville,TOWN COUNCIL TOWN OF BURRILLVILLE,DEM,"John Michael KARMOZYN, JR.",1702
Burrillville,TOWN COUNCIL TOWN OF BURRILLVILLE,IND,Mark S. BRIZARD,1601
Burrillville,TOWN COUNCIL TOWN OF BURRILLVILLE,DEM,Cynthia J. LUSSIER,1545
Burrillville,TOWN COUNCIL TOWN OF BURRILLVILLE,NON,WRITE-IN,11
Burrillville,NON-PARTISAN SCHOOL COMMITTEE TOWN OF BURRILLVILLE,NON,Silvia A. ST. PIERRE,2336
Burrillville,NON-PARTISAN SCHOOL COMMITTEE TOWN OF BURRILLVILLE,NON,Raymond J. TRINQUE,2162
Burrillville,NON-PARTISAN SCHOOL COMMITTEE TOWN OF BURRILLVILLE,NON,Alexandra LECLAIR,2126
Burrillville,NON-PARTISAN SCHOOL COMMITTEE TOWN OF BURRILLVILLE,NON,Joshua N. TESSIER,2075
Burrillville,NON-PARTISAN SCHOOL COMMITTEE TOWN OF BURRILLVILLE,NON,Donison L. ALLEN,2024
Burrillville,NON-PARTISAN SCHOOL COMMITTEE TOWN OF BURRILLVILLE,NON,Mary Margaret KARMOZYN,1909
Burrillville,NON-PARTISAN SCHOOL COMMITTEE TOWN OF BURRILLVILLE,NON,Peter F. LAMBERT,1720
Burrillville,NON-PARTISAN SCHOOL COMMITTEE TOWN OF BURRILLVILLE,NON,WRITE-IN,36
Burrillville,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,2586
Burrillville,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,1910
Burrillville,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,2856
Burrillville,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,1554
Burrillville,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,2709
Burrillville,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,1697
Burrillville,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,2183
Burrillville,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,2117
Burrillville,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,2292
Burrillville,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,2166
Burrillville,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,2137
Burrillville,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,2129
Burrillville,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,2745
Burrillville,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,1675
Central Falls,SENATOR IN CONGRESS,DEM,John F. REED,1725
Central Falls,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,257
Central Falls,SENATOR IN CONGRESS,NON,WRITE-IN,5
Central Falls,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEM,David N. CICILLINE,1616
Central Falls,REPRESENTATIVE IN CONGRESS DISTRICT 1,REP,Cormick Brendan LYNCH,376
Central Falls,REPRESENTATIVE IN CONGRESS DISTRICT 1,NON,WRITE-IN,9
Central Falls,GOVERNOR,DEM,Gina M. RAIMONDO,1359
Central Falls,GOVERNOR,REP,Allan W. FUNG,358
Central Falls,GOVERNOR,MOD,"Robert J. HEALEY, JR.",280
Central Falls,GOVERNOR,IND,Kate L. FLETCHER,30
Central Falls,GOVERNOR,IND,Leon M. KAYARIAN,17
Central Falls,GOVERNOR,NON,WRITE-IN,3
Central Falls,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,1579
Central Falls,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,264
Central Falls,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,106
Central Falls,LIEUTENANT GOVERNOR,Lib,Tony JONES,32
Central Falls,LIEUTENANT GOVERNOR,NON,WRITE-IN,3
Central Falls,SECRETARY OF STATE,DEM,Nellie M. GORBEA,1623
Central Falls,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",337
Central Falls,SECRETARY OF STATE,NON,WRITE-IN,10
Central Falls,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,1592
Central Falls,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,363
Central Falls,ATTORNEY GENERAL,NON,WRITE-IN,6
Central Falls,GENERAL TREASURER,DEM,Seth MAGAZINER,1468
Central Falls,GENERAL TREASURER,IND,Ernest A. ALMONTE,463
Central Falls,GENERAL TREASURER,NON,WRITE-IN,9
Central Falls,SENATOR IN GENERAL ASSEMBLY DISTRICT 16,DEM,Elizabeth A. CROWLEY,1665
Central Falls,SENATOR IN GENERAL ASSEMBLY DISTRICT 16,IND,Daniel J. BIDONDI,284
Central Falls,SENATOR IN GENERAL ASSEMBLY DISTRICT 16,NON,WRITE-IN,9
Central Falls,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 56,DEM,Shelby MALDONADO,1120
Central Falls,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 56,IND,Albert M. ROMANOWICZ,215
Central Falls,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 56,NON,WRITE-IN,2
Central Falls,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 57,DEM,James N. McLAUGHLIN,581
Central Falls,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 57,NON,WRITE-IN,15
Central Falls,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,1001
