office,district,candidate,party,precinct,votes
U.S. House,1,David Ciccilini,D,Barrington 0101,614
U.S. House,1,David Ciccilini,D,Barrington 0102,822
U.S. House,1,David Ciccilini,D,Barrington 0103,652
U.S. House,1,David Ciccilini,D,Barrington 0104,811
U.S. House,1,David Ciccilini,D,Barrington 0105,767
U.S. House,1,David Ciccilini,D,Barrington Limited,2
U.S. House,1,David Ciccilini,D,Bristol 0201,401
U.S. House,1,David Ciccilini,D,Bristol 0202,233
U.S. House,1,David Ciccilini,D,Bristol 0203,848
U.S. House,1,David Ciccilini,D,Bristol 0204,595
U.S. House,1,David Ciccilini,D,Bristol 0205,612
U.S. House,1,David Ciccilini,D,Bristol 0206,542
U.S. House,1,David Ciccilini,D,Bristol 0207,349
U.S. House,1,David Ciccilini,D,Bristol 0208,427
U.S. House,1,David Ciccilini,D,Bristol 0209,96
U.S. House,1,David Ciccilini,D,Bristol Limited,1
U.S. House,1,David Ciccilini,D,Central Falls 0401,249
U.S. House,1,David Ciccilini,D,Central Falls 0402,116
U.S. House,1,David Ciccilini,D,Central Falls 0403,334
U.S. House,1,David Ciccilini,D,Central Falls 0404,291
U.S. House,1,David Ciccilini,D,Central Falls 0405,117
U.S. House,1,David Ciccilini,D,Central Falls 0406,190
U.S. House,1,David Ciccilini,D,Central Falls 0407,88
U.S. House,1,David Ciccilini,D,Central Falls 0408,230
U.S. House,1,David Ciccilini,D,Central Falls Limited,1
U.S. House,1,David Ciccilini,D,Cumberland 0801,375
U.S. House,1,David Ciccilini,D,Cumberland 0802,494
U.S. House,1,David Ciccilini,D,Cumberland 0803,559
U.S. House,1,David Ciccilini,D,Cumberland 0804,109
U.S. House,1,David Ciccilini,D,Cumberland 0805,633
U.S. House,1,David Ciccilini,D,Cumberland 0806,556
U.S. House,1,David Ciccilini,D,Cumberland 0807,604
U.S. House,1,David Ciccilini,D,Cumberland 0808,599
U.S. House,1,David Ciccilini,D,Cumberland 0809,198
U.S. House,1,David Ciccilini,D,Cumberland 0810,486
U.S. House,1,David Ciccilini,D,Cumberland 0811,566
U.S. House,1,David Ciccilini,D,Cumberland 0812,428
U.S. House,1,David Ciccilini,D,Cumberland 0813,191
U.S. House,1,David Ciccilini,D,Cumberland Limited,0
U.S. House,1,David Ciccilini,D,East Providence 1001,620
U.S. House,1,David Ciccilini,D,East Providence 1002,487
U.S. House,1,David Ciccilini,D,East Providence 1003,312
U.S. House,1,David Ciccilini,D,East Providence 1004,628
U.S. House,1,David Ciccilini,D,East Providence 1005,490
U.S. House,1,David Ciccilini,D,East Providence 1006,44
U.S. House,1,David Ciccilini,D,East Providence 1007,64
U.S. House,1,David Ciccilini,D,East Providence 1008,631
U.S. House,1,David Ciccilini,D,East Providence 1009,685
U.S. House,1,David Ciccilini,D,East Providence 1010,651
