office,district,candidate,party,precinct,votes,absentee_votes
President,,Donald J. Trump,R,Cranston 0711,786,130
President,,Donald J. Trump,R,Cranston 0712,890,179
President,,Donald J. Trump,R,Cranston 0713,764,157
President,,Donald J. Trump,R,Cranston 0714,157,18
President,,Donald J. Trump,R,Cranston 0715,430,89
President,,Donald J. Trump,R,Cranston 0716,729,119
President,,Donald J. Trump,R,Cranston 0717,181,19
President,,Donald J. Trump,R,Cranston 0718,366,55
President,,Donald J. Trump,R,Cranston 0719,691,127
President,,Donald J. Trump,R,Cranston 0720,225,32
President,,Donald J. Trump,R,Cranston 0721,551,64
President,,Donald J. Trump,R,Cranston 0722,361,37
President,,Donald J. Trump,R,Cranston 0723,410,67
President,,Donald J. Trump,R,Cranston 0724,287,51
President,,Donald J. Trump,R,Cranston 0725,617,77
President,,Donald J. Trump,R,Cranston 0726,406,58
President,,Donald J. Trump,R,Cranston 0727,224,24
President,,Donald J. Trump,R,Cranston 0728,11,11
President,,Donald J. Trump,R,Cranston 0730,1512,193
President,,Donald J. Trump,R,Cranston 0731,937,176
President,,Donald J. Trump,R,Cranston Limited,1,0
President,,Donald J. Trump,R,Cranston Presidential,158,5
President,,Donald J. Trump,R,Cumberland 0801,511,85
President,,Donald J. Trump,R,Cumberland 0802,632,108
President,,Donald J. Trump,R,Cumberland 0803,818,96
President,,Donald J. Trump,R,Cumberland 0804,259,39
President,,Donald J. Trump,R,Cumberland 0805,855,128
President,,Donald J. Trump,R,Cumberland 0806,685,158
President,,Donald J. Trump,R,Cumberland 0807,1050,170
President,,Donald J. Trump,R,Cumberland 0808,982,209
President,,Donald J. Trump,R,Cumberland 0809,356,54
President,,Donald J. Trump,R,Cumberland 0810,504,72
President,,Donald J. Trump,R,Cumberland 0811,719,133
President,,Donald J. Trump,R,Cumberland 0812,595,101
President,,Donald J. Trump,R,Cumberland 0813,363,60
President,,Donald J. Trump,R,Cumberland Limited,5,0
President,,Donald J. Trump,R,Cumberland Presidential,84,14
President,,Donald J. Trump,R,East Greenwich 0901,179,34
President,,Donald J. Trump,R,East Greenwich 0902,806,172
President,,Donald J. Trump,R,East Greenwich 0903,606,103
President,,Donald J. Trump,R,East Greenwich 0904,797,172
President,,Donald J. Trump,R,East Greenwich 0905,810,169
President,,Donald J. Trump,R,East Greenwich Limited,3,2
President,,Donald J. Trump,R,East Greenwich Presidential,26,0
President,,Donald J. Trump,R,East Providence 1001,636,103
President,,Donald J. Trump,R,East Providence 1002,423,72
President,,Donald J. Trump,R,East Providence 1003,261,27
President,,Donald J. Trump,R,East Providence 1004,547,115
President,,Donald J. Trump,R,East Providence 1005,374,79
President,,Donald J. Trump,R,East Providence 1006,53,5
President,,Donald J. Trump,R,East Providence 1007,68,17
President,,Donald J. Trump,R,East Providence 1008,547,110
President,,Donald J. Trump,R,East Providence 1009,651,116
President,,Donald J. Trump,R,East Providence 1010,624,118
President,,Donald J. Trump,R,East Providence 1011,628,152
President,,Donald J. Trump,R,East Providence 1012,311,35
President,,Donald J. Trump,R,East Providence 1013,514,98
President,,Donald J. Trump,R,East Providence 1014,614,92
President,,Donald J. Trump,R,East Providence 1015,208,48
President,,Donald J. Trump,R,East Providence 1016,413,55
President,,Donald J. Trump,R,East Providence 1017,685,115
President,,Donald J. Trump,R,East Providence 1018,241,40
President,,Donald J. Trump,R,East Providence Limited,0,0
President,,Donald J. Trump,R,East Providence Presidential,132,0
President,,Donald J. Trump,R,Exeter 1101,539,71
President,,Donald J. Trump,R,Exeter 1102,626,68
President,,Donald J. Trump,R,Exeter 1103,823,110
President,,Donald J. Trump,R,Exeter Limited,0,0
President,,Donald J. Trump,R,Exeter Presidential,21,0
President,,Donald J. Trump,R,Foster 1201,837,85
President,,Donald J. Trump,R,Foster 1202,715,70
President,,Donald J. Trump,R,Foster Limited,2,0
President,,Donald J. Trump,R,Foster Presidential,28,1
President,,Donald J. Trump,R,Glocester 1301,1149,145
President,,Donald J. Trump,R,Glocester 1302,1170,143
President,,Donald J. Trump,R,Glocester 1303,265,22
President,,Donald J. Trump,R,Glocester 1304,723,86
President,,Donald J. Trump,R,Glocester Limited,1,0
President,,Donald J. Trump,R,Glocester Presidential,43,6
President,,Donald J. Trump,R,Hopkinton 1401,1079,136
President,,Donald J. Trump,R,Hopkinton 1402,954,126
President,,Donald J. Trump,R,Hopkinton 1403,355,42
President,,Donald J. Trump,R,Hopkinton Limited,0,0
President,,Donald J. Trump,R,Hopkinton Presidential,35,5
President,,Donald J. Trump,R,Jamestown 1501,640,119
President,,Donald J. Trump,R,Jamestown 1502,553,127
President,,Donald J. Trump,R,Jamestown Limited,0,0
President,,Donald J. Trump,R,Jamestown Presidential,19,0
President,,Donald J. Trump,R,Johnston 1601,603,68
President,,Donald J. Trump,R,Johnston 1602,690,160
President,,Donald J. Trump,R,Johnston 1603,650,118
President,,Donald J. Trump,R,Johnston 1604,836,140
President,,Donald J. Trump,R,Johnston 1605,750,72
President,,Donald J. Trump,R,Johnston 1606,153,24
President,,Donald J. Trump,R,Johnston 1607,231,37
President,,Donald J. Trump,R,Johnston 1608,752,86
President,,Donald J. Trump,R,Johnston 1609,657,115
President,,Donald J. Trump,R,Johnston 1610,961,124
President,,Donald J. Trump,R,Johnston 1611,452,49
President,,Donald J. Trump,R,Johnston 1612,648,97
President,,Donald J. Trump,R,Johnston 1613,711,97
President,,Donald J. Trump,R,Johnston Limited,0,0
President,,Donald J. Trump,R,Johnston Presidential,128,10
President,,Donald J. Trump,R,Lincoln 1701,1214,211
President,,Donald J. Trump,R,Lincoln 1702,412,63
President,,Donald J. Trump,R,Lincoln 1703,632,89
President,,Donald J. Trump,R,Lincoln 1704,837,91
President,,Donald J. Trump,R,Lincoln 1705,604,80
President,,Donald J. Trump,R,Lincoln 1706,189,30
President,,Donald J. Trump,R,Lincoln 1707,204,20
President,,Donald J. Trump,R,Lincoln 1708,781,117
President,,Donald J. Trump,R,Lincoln 1709,314,49
President,,Donald J. Trump,R,Lincoln 1710,254,31
President,,Donald J. Trump,R,Lincoln 1711,285,22
President,,Donald J. Trump,R,Lincoln Limited,0,0
President,,Donald J. Trump,R,Lincoln Presidential,53,10
President,,Donald J. Trump,R,Little Compton 1801,935,144
President,,Donald J. Trump,R,Little Compton Limited,0,0
President,,Donald J. Trump,R,Little Compton Presidential,16,5
President,,Donald J. Trump,R,Middletown 1901,488,92
President,,Donald J. Trump,R,Middletown 1902,553,132
President,,Donald J. Trump,R,Middletown 1903,473,113
President,,Donald J. Trump,R,Middletown 1904,717,161
President,,Donald J. Trump,R,Middletown 1905,588,147
President,,Donald J. Trump,R,Middletown Limited,0,0
President,,Donald J. Trump,R,Middletown Presidential,66,7
President,,Donald J. Trump,R,Narragansett 2001,95,19
President,,Donald J. Trump,R,Narragansett 2002,814,131
President,,Donald J. Trump,R,Narragansett 2003,840,151
President,,Donald J. Trump,R,Narragansett 2004,884,166
President,,Donald J. Trump,R,Narragansett 2005,883,198
President,,Donald J. Trump,R,Narragansett Limited,0,0
President,,Donald J. Trump,R,Narragansett Presidential,35,1
President,,Donald J. Trump,R,Newport 2101,294,46
President,,Donald J. Trump,R,Newport 2102,451,89
President,,Donald J. Trump,R,Newport 2103,156,27
President,,Donald J. Trump,R,Newport 2104,105,30
President,,Donald J. Trump,R,Newport 2105,368,94
President,,Donald J. Trump,R,Newport 2106,476,125
President,,Donald J. Trump,R,Newport 2107,528,98
President,,Donald J. Trump,R,Newport 2108,173,26
President,,Donald J. Trump,R,Newport 2109,60,18
President,,Donald J. Trump,R,Newport Limited,0,0
President,,Donald J. Trump,R,Newport Presidential,51,4
President,,Donald J. Trump,R,New Shoreham 2201,190,32
President,,Donald J. Trump,R,New Shoreham Limited,0,0
President,,Donald J. Trump,R,New Shoreham Presidential,5,0
President,,Donald J. Trump,R,North Kingstown 2301,663,116
President,,Donald J. Trump,R,North Kingstown 2302,851,161
President,,Donald J. Trump,R,North Kingstown 2303,839,139
President,,Donald J. Trump,R,North Kingstown 2304,884,154
President,,Donald J. Trump,R,North Kingstown 2305,500,91
President,,Donald J. Trump,R,North Kingstown 2306,464,77
President,,Donald J. Trump,R,North Kingstown 2307,742,133
President,,Donald J. Trump,R,North Kingstown 2308,811,144
President,,Donald J. Trump,R,North Kingstown 2309,812,163
President,,Donald J. Trump,R,North Kingstown Limited,3,2
President,,Donald J. Trump,R,North Kingstown Presidential,64,8
President,,Donald J. Trump,R,North Providence 2401,339,39
President,,Donald J. Trump,R,North Providence 2402,452,57
President,,Donald J. Trump,R,North Providence 2403,505,80
President,,Donald J. Trump,R,North Providence 2404,284,50
President,,Donald J. Trump,R,North Providence 2405,362,49
President,,Donald J. Trump,R,North Providence 2406,525,70
President,,Donald J. Trump,R,North Providence 2407,627,68
President,,Donald J. Trump,R,North Providence 2408,433,55
President,,Donald J. Trump,R,North Providence 2409,229,41
President,,Donald J. Trump,R,North Providence 2410,418,68
President,,Donald J. Trump,R,North Providence 2411,636,102
President,,Donald J. Trump,R,North Providence 2412,550,72
President,,Donald J. Trump,R,North Providence 2413,318,53
President,,Donald J. Trump,R,North Providence 2414,295,35
President,,Donald J. Trump,R,North Providence 2415,299,53
President,,Donald J. Trump,R,North Providence 2416,775,129
President,,Donald J. Trump,R,North Providence Limited,0,0
President,,Donald J. Trump,R,North Providence Presidential,82,2
President,,Donald J. Trump,R,North Smithfield 2501,869,128
President,,Donald J. Trump,R,North Smithfield 2502,882,151
President,,Donald J. Trump,R,North Smithfield 2503,734,76
President,,Donald J. Trump,R,North Smithfield 2504,656,126
President,,Donald J. Trump,R,North Smithfield 2505,375,70
President,,Donald J. Trump,R,North Smithfield Limited,2,0
President,,Donald J. Trump,R,North Smithfield Presidential,32,1
President,,Donald J. Trump,R,Pawtucket 2601,86,12
President,,Donald J. Trump,R,Pawtucket 2602,139,26
President,,Donald J. Trump,R,Pawtucket 2603,459,77
President,,Donald J. Trump,R,Pawtucket 2604,264,31
President,,Donald J. Trump,R,Pawtucket 2605,107,15
President,,Donald J. Trump,R,Pawtucket 2606,122,17
President,,Donald J. Trump,R,Pawtucket 2607,273,61
President,,Donald J. Trump,R,Pawtucket 2608,256,69
President,,Donald J. Trump,R,Pawtucket 2609,51,7
President,,Donald J. Trump,R,Pawtucket 2610,21,0
President,,Donald J. Trump,R,Pawtucket 2611,127,29
President,,Donald J. Trump,R,Pawtucket 2612,338,51
President,,Donald J. Trump,R,Pawtucket 2613,315,49
President,,Donald J. Trump,R,Pawtucket 2614,268,43
President,,Donald J. Trump,R,Pawtucket 2615,80,11
President,,Donald J. Trump,R,Pawtucket 2616,71,9
President,,Donald J. Trump,R,Pawtucket 2617,71,8
President,,Donald J. Trump,R,Pawtucket 2618,655,128
President,,Donald J. Trump,R,Pawtucket 2619,337,53
President,,Donald J. Trump,R,Pawtucket 2620,597,107
President,,Donald J. Trump,R,Pawtucket 2621,202,26
President,,Donald J. Trump,R,Pawtucket 2622,124,19
President,,Donald J. Trump,R,Pawtucket 2623,146,22
President,,Donald J. Trump,R,Pawtucket 2624,179,24
President,,Donald J. Trump,R,Pawtucket 2625,107,11
President,,Donald J. Trump,R,Pawtucket 2626,36,2
President,,Donald J. Trump,R,Pawtucket 2627,270,41
President,,Donald J. Trump,R,Pawtucket 2628,590,140
President,,Donald J. Trump,R,Pawtucket 2629,671,159
President,,Donald J. Trump,R,Pawtucket 2630,42,8
President,,Donald J. Trump,R,Pawtucket 2631,120,34
President,,Donald J. Trump,R,Pawtucket Limited,3,0
President,,Donald J. Trump,R,Pawtucket Presidential,130,22
President,,Donald J. Trump,R,Portsmouth 2701,43,9
President,,Donald J. Trump,R,Portsmouth 2702,117,21
President,,Donald J. Trump,R,Portsmouth 2703,562,100
President,,Donald J. Trump,R,Portsmouth 2704,861,140
President,,Donald J. Trump,R,Portsmouth 2705,316,66
President,,Donald J. Trump,R,Portsmouth 2706,309,48
President,,Donald J. Trump,R,Portsmouth 2707,885,201
President,,Donald J. Trump,R,Portsmouth 2708,852,184
President,,Donald J. Trump,R,Portsmouth Limited,1,0
President,,Donald J. Trump,R,Portsmouth Presidential,49,3
President,,Donald J. Trump,R,Providence 2801,37,9
President,,Donald J. Trump,R,Providence 2802,27,6
President,,Donald J. Trump,R,Providence 2803,138,40
President,,Donald J. Trump,R,Providence 2804,17,4
President,,Donald J. Trump,R,Providence 2805,177,49
President,,Donald J. Trump,R,Providence 2806,12,4
President,,Donald J. Trump,R,Providence 2807,0,0
President,,Donald J. Trump,R,Providence 2808,135,39
President,,Donald J. Trump,R,Providence 2809,138,17
President,,Donald J. Trump,R,Providence 2810,12,3
President,,Donald J. Trump,R,Providence 2811,165,27
President,,Donald J. Trump,R,Providence 2812,228,37
President,,Donald J. Trump,R,Providence 2813,116,16
President,,Donald J. Trump,R,Providence 2814,96,20
President,,Donald J. Trump,R,Providence 2815,195,82
President,,Donald J. Trump,R,Providence 2816,239,58
President,,Donald J. Trump,R,Providence 2817,213,64
President,,Donald J. Trump,R,Providence 2818,146,43
President,,Donald J. Trump,R,Providence 2819,406,95
President,,Donald J. Trump,R,Providence 2820,67,18
President,,Donald J. Trump,R,Providence 2821,183,25
President,,Donald J. Trump,R,Providence 2822,36,3
President,,Donald J. Trump,R,Providence 2823,247,42
President,,Donald J. Trump,R,Providence 2824,334,32
President,,Donald J. Trump,R,Providence 2825,42,4
President,,Donald J. Trump,R,Providence 2826,173,21
President,,Donald J. Trump,R,Providence 2827,197,27
President,,Donald J. Trump,R,Providence 2828,152,27
President,,Donald J. Trump,R,Providence 2829,174,20
President,,Donald J. Trump,R,Providence 2830,10,0
President,,Donald J. Trump,R,Providence 2831,134,15
President,,Donald J. Trump,R,Providence 2832,231,38
President,,Donald J. Trump,R,Providence 2833,90,15
President,,Donald J. Trump,R,Providence 2834,48,11
President,,Donald J. Trump,R,Providence 2835,48,21
President,,Donald J. Trump,R,Providence 2836,1,0
President,,Donald J. Trump,R,Providence 2837,87,15
President,,Donald J. Trump,R,Providence 2838,59,10
President,,Donald J. Trump,R,Providence 2839,84,25
President,,Donald J. Trump,R,Providence 2840,50,12
President,,Donald J. Trump,R,Providence 2841,51,4
President,,Donald J. Trump,R,Providence 2842,31,8
President,,Donald J. Trump,R,Providence 2843,64,9
President,,Donald J. Trump,R,Providence 2844,256,33
President,,Donald J. Trump,R,Providence 2845,179,34
President,,Donald J. Trump,R,Providence 2846,205,47
President,,Donald J. Trump,R,Providence 2847,104,16
President,,Donald J. Trump,R,Providence 2848,39,6
President,,Donald J. Trump,R,Providence 2849,309,54
President,,Donald J. Trump,R,Providence 2850,133,16
President,,Donald J. Trump,R,Providence 2851,222,55
President,,Donald J. Trump,R,Providence 2852,59,16
President,,Donald J. Trump,R,Providence 2853,59,4
President,,Donald J. Trump,R,Providence 2854,430,92
President,,Donald J. Trump,R,Providence 2855,363,51
President,,Donald J. Trump,R,Providence 2856,18,0
President,,Donald J. Trump,R,Providence 2857,26,3
President,,Donald J. Trump,R,Providence 2858,70,8
President,,Donald J. Trump,R,Providence 2859,38,7
President,,Donald J. Trump,R,Providence 2860,31,4
President,,Donald J. Trump,R,Providence 2861,206,41
President,,Donald J. Trump,R,Providence 2862,177,40
President,,Donald J. Trump,R,Providence 2863,124,31
President,,Donald J. Trump,R,Providence 2864,53,5
President,,Donald J. Trump,R,Providence 2865,34,3
President,,Donald J. Trump,R,Providence 2866,75,13
President,,Donald J. Trump,R,Providence 2867,23,5
President,,Donald J. Trump,R,Providence 2868,111,14
President,,Donald J. Trump,R,Providence 2869,27,2
President,,Donald J. Trump,R,Providence 2870,204,28
President,,Donald J. Trump,R,Providence 2871,134,18
President,,Donald J. Trump,R,Providence 2872,9,2
President,,Donald J. Trump,R,Providence 2873,27,0
President,,Donald J. Trump,R,Providence 2874,334,62
President,,Donald J. Trump,R,Providence 2875,318,72
President,,Donald J. Trump,R,Providence 2876,177,27
President,,Donald J. Trump,R,Providence 2877,137,14
President,,Donald J. Trump,R,Providence 2878,10,2
President,,Donald J. Trump,R,Providence 2879,134,15
President,,Donald J. Trump,R,Providence 2880,65,4
President,,Donald J. Trump,R,Providence Limited 1,1,1
President,,Donald J. Trump,R,Providence Limited 2,0,0
President,,Donald J. Trump,R,Providence Presidential,175,19
President,,Donald J. Trump,R,Richmond 2901,1115,151
President,,Donald J. Trump,R,Richmond 2902,1184,161
President,,Donald J. Trump,R,Richmond Limited,0,0
President,,Donald J. Trump,R,Richmond Presidential,44,0
President,,Donald J. Trump,R,Scituate 3001,1295,157
President,,Donald J. Trump,R,Scituate 3002,1303,141
President,,Donald J. Trump,R,Scituate 3003,1177,157
President,,Donald J. Trump,R,Scituate Limited,0,0
President,,Donald J. Trump,R,Scituate Presidential,31,0
President,,Donald J. Trump,R,Smithfield 3101,1058,177
President,,Donald J. Trump,R,Smithfield 3102,832,134
President,,Donald J. Trump,R,Smithfield 3103,890,127
President,,Donald J. Trump,R,Smithfield 3104,1052,179
President,,Donald J. Trump,R,Smithfield 3105,943,221
President,,Donald J. Trump,R,Smithfield 3106,913,121
President,,Donald J. Trump,R,Smithfield Limited,0,0
President,,Donald J. Trump,R,Smithfield Presidential,56,1
President,,Donald J. Trump,R,South Kingstown 3201,272,59
President,,Donald J. Trump,R,South Kingstown 3202,525,138
President,,Donald J. Trump,R,South Kingstown 3203,569,139
President,,Donald J. Trump,R,South Kingstown 3204,390,59
President,,Donald J. Trump,R,South Kingstown 3205,478,71
President,,Donald J. Trump,R,South Kingstown 3206,458,49
President,,Donald J. Trump,R,South Kingstown 3207,598,124
President,,Donald J. Trump,R,South Kingstown 3208,832,200
President,,Donald J. Trump,R,South Kingstown 3209,349,52
President,,Donald J. Trump,R,South Kingstown 3210,497,96
President,,Donald J. Trump,R,South Kingstown Limited,1,0
President,,Donald J. Trump,R,South Kingstown Presidential,34,4
President,,Donald J. Trump,R,Tiverton 3301,763,139
President,,Donald J. Trump,R,Tiverton 3302,788,124
President,,Donald J. Trump,R,Tiverton 3303,419,93
President,,Donald J. Trump,R,Tiverton 3304,540,64
President,,Donald J. Trump,R,Tiverton 3305,143,23
President,,Donald J. Trump,R,Tiverton 3306,807,138
President,,Donald J. Trump,R,Tiverton 3307,505,98
President,,Donald J. Trump,R,Tiverton Limited,5,0
President,,Donald J. Trump,R,Tiverton Presidential,47,6
President,,Donald J. Trump,R,Warren 3401,526,81
President,,Donald J. Trump,R,Warren 3402,885,156
President,,Donald J. Trump,R,Warren 3403,811,173
President,,Donald J. Trump,R,Warren Limited,1,0
President,,Donald J. Trump,R,Warren Presidential,38,5
President,,Donald J. Trump,R,Warwick 3501,734,120
President,,Donald J. Trump,R,Warwick 3502,786,113
President,,Donald J. Trump,R,Warwick 3503,431,53
President,,Donald J. Trump,R,Warwick 3504,454,50
President,,Donald J. Trump,R,Warwick 3505,338,55
President,,Donald J. Trump,R,Warwick 3506,340,40
President,,Donald J. Trump,R,Warwick 3507,132,25
President,,Donald J. Trump,R,Warwick 3508,700,97
President,,Donald J. Trump,R,Warwick 3509,163,31
President,,Donald J. Trump,R,Warwick 3510,494,66
President,,Donald J. Trump,R,Warwick 3511,754,159
President,,Donald J. Trump,R,Warwick 3512,519,61
President,,Donald J. Trump,R,Warwick 3513,734,113
President,,Donald J. Trump,R,Warwick 3514,955,148
President,,Donald J. Trump,R,Warwick 3515,952,134
President,,Donald J. Trump,R,Warwick 3516,275,26
President,,Donald J. Trump,R,Warwick 3517,312,43
President,,Donald J. Trump,R,Warwick 3518,1043,154
President,,Donald J. Trump,R,Warwick 3519,1001,120
President,,Donald J. Trump,R,Warwick 3520,768,96
President,,Donald J. Trump,R,Warwick 3521,694,104
President,,Donald J. Trump,R,Warwick 3522,577,98
President,,Donald J. Trump,R,Warwick 3523,826,124
President,,Donald J. Trump,R,Warwick 3524,562,75
President,,Donald J. Trump,R,Warwick 3525,653,84
President,,Donald J. Trump,R,Warwick 3526,228,48
President,,Donald J. Trump,R,Warwick 3527,581,114
President,,Donald J. Trump,R,Warwick 3528,289,44
President,,Donald J. Trump,R,Warwick 3529,585,125
President,,Donald J. Trump,R,Warwick 3530,770,139
President,,Donald J. Trump,R,Warwick 3531,967,191
President,,Donald J. Trump,R,Warwick 3532,359,60
President,,Donald J. Trump,R,Warwick 3533,389,73
President,,Donald J. Trump,R,Warwick Limited,0,0
President,,Donald J. Trump,R,Warwick Presidential,213,12
President,,Donald J. Trump,R,Westerly 3601,417,82
President,,Donald J. Trump,R,Westerly 3602,880,191
President,,Donald J. Trump,R,Westerly 3603,772,188
President,,Donald J. Trump,R,Westerly 3604,855,190
President,,Donald J. Trump,R,Westerly 3605,952,213
President,,Donald J. Trump,R,Westerly 3606,798,142
President,,Donald J. Trump,R,Westerly 3607,737,139
President,,Donald J. Trump,R,Westerly Limited,0,0
President,,Donald J. Trump,R,Westerly Presidential,52,4
President,,Donald J. Trump,R,West Greenwich 3701,683,64
President,,Donald J. Trump,R,West Greenwich 3702,508,53
President,,Donald J. Trump,R,West Greenwich 3703,500,42
President,,Donald J. Trump,R,West Greenwich 3704,514,60
President,,Donald J. Trump,R,West Greenwich Limited,2,0
President,,Donald J. Trump,R,West Greenwich Presidential,35,2
President,,Donald J. Trump,R,West Warwick 3801,663,81
President,,Donald J. Trump,R,West Warwick 3802,392,63
President,,Donald J. Trump,R,West Warwick 3803,281,38
President,,Donald J. Trump,R,West Warwick 3804,1126,176
President,,Donald J. Trump,R,West Warwick 3805,389,24
President,,Donald J. Trump,R,West Warwick 3806,376,50
President,,Donald J. Trump,R,West Warwick 3807,974,166
President,,Donald J. Trump,R,West Warwick 3808,920,107
President,,Donald J. Trump,R,West Warwick 3809,684,112
President,,Donald J. Trump,R,West Warwick 3810,581,71
President,,Donald J. Trump,R,West Warwick Limited,0,0
President,,Donald J. Trump,R,West Warwick Presidential,107,0
President,,Donald J. Trump,R,Woonsocket 3901,89,10
President,,Donald J. Trump,R,Woonsocket 3902,285,65
President,,Donald J. Trump,R,Woonsocket 3903,206,34
President,,Donald J. Trump,R,Woonsocket 3904,466,86
President,,Donald J. Trump,R,Woonsocket 3905,495,58
President,,Donald J. Trump,R,Woonsocket 3906,474,49
President,,Donald J. Trump,R,Woonsocket 3907,676,78
President,,Donald J. Trump,R,Woonsocket 3908,722,109
President,,Donald J. Trump,R,Woonsocket 3909,830,126
President,,Donald J. Trump,R,Woonsocket 3910,837,111
President,,Donald J. Trump,R,Woonsocket 3911,576,96
President,,Donald J. Trump,R,Woonsocket 3912,473,54
President,,Donald J. Trump,R,Woonsocket Limited,1,0
President,,Donald J. Trump,R,Woonsocket Presidential,135,0
President,,Donald J. Trump,R,Federal Precinct #1,42,42
President,,Donald J. Trump,R,Federal Precinct #2,26,26
President,,Donald J. Trump,R,Federal Precinct #1S,14,14
President,,Donald J. Trump,R,Federal Precinct #2S,3,3
President,,Joseph R. Biden,D,Barrington 0101,1247,644
President,,Joseph R. Biden,D,Barrington 0102,1714,917
President,,Joseph R. Biden,D,Barrington 0103,1379,755
President,,Joseph R. Biden,D,Barrington 0104,1624,810
President,,Joseph R. Biden,D,Barrington 0105,1685,902
President,,Joseph R. Biden,D,Barrington Limited,1,1
President,,Joseph R. Biden,D,Barrington Presidential,63,14
President,,Joseph R. Biden,D,Bristol 0201,626,278
President,,Joseph R. Biden,D,Bristol 0202,484,204
President,,Joseph R. Biden,D,Bristol 0203,1441,791
President,,Joseph R. Biden,D,Bristol 0204,921,451
President,,Joseph R. Biden,D,Bristol 0205,960,392
President,,Joseph R. Biden,D,Bristol 0206,823,377
President,,Joseph R. Biden,D,Bristol 0207,623,319
President,,Joseph R. Biden,D,Bristol 0208,719,320
President,,Joseph R. Biden,D,Bristol 0209,168,49
President,,Joseph R. Biden,D,Bristol Limited,1,0
President,,Joseph R. Biden,D,Bristol Presidential,47,17
President,,Joseph R. Biden,D,Burrillville 0301,567,281
President,,Joseph R. Biden,D,Burrillville 0302,517,219
