office,district,candidate,party,precinct,votes,absentee_votes
President,,Donald J. Trump,R,Barrington 0101,551,92
President,,Donald J. Trump,R,Barrington 0102,623,162
President,,Donald J. Trump,R,Barrington 0103,452,116
President,,Donald J. Trump,R,Barrington 0104,646,140
President,,Donald J. Trump,R,Barrington 0105,587,149
President,,Donald J. Trump,R,Barrington Limited,0,0
President,,Donald J. Trump,R,Barrington Presidential,30,1
President,,Donald J. Trump,R,Bristol 0201,556,82
President,,Donald J. Trump,R,Bristol 0202,218,44
President,,Donald J. Trump,R,Bristol 0203,844,171
President,,Donald J. Trump,R,Bristol 0204,592,103
President,,Donald J. Trump,R,Bristol 0205,864,112
President,,Donald J. Trump,R,Bristol 0206,627,130
President,,Donald J. Trump,R,Bristol 0207,286,65
President,,Donald J. Trump,R,Bristol 0208,476,67
President,,Donald J. Trump,R,Bristol 0209,94,13
President,,Donald J. Trump,R,Bristol Limited,0,0
President,,Donald J. Trump,R,Bristol Presidential,38,5
President,,Donald J. Trump,R,Burrillville 0301,853,115
President,,Donald J. Trump,R,Burrillville 0302,820,96
President,,Donald J. Trump,R,Burrillville 0303,1080,139
President,,Donald J. Trump,R,Burrillville 0304,572,49
President,,Donald J. Trump,R,Burrillville 0305,717,70
President,,Donald J. Trump,R,Burrillville 0306,779,97
President,,Donald J. Trump,R,Burrillville Limited,0,0
President,,Donald J. Trump,R,Burrillville Presidential,85,6
President,,Donald J. Trump,R,Central Falls 0401,165,28
President,,Donald J. Trump,R,Central Falls 0402,107,16
President,,Donald J. Trump,R,Central Falls 0403,206,50
President,,Donald J. Trump,R,Central Falls 0404,139,42
President,,Donald J. Trump,R,Central Falls 0405,74,16
President,,Donald J. Trump,R,Central Falls 0406,163,33
President,,Donald J. Trump,R,Central Falls 0407,53,3
President,,Donald J. Trump,R,Central Falls 0408,139,20
President,,Donald J. Trump,R,Central Falls Limited,0,0
President,,Donald J. Trump,R,Central Falls Presidential,67,6
President,,Donald J. Trump,R,Charlestown 0501,578,65
President,,Donald J. Trump,R,Charlestown 0502,602,88
President,,Donald J. Trump,R,Charlestown 0503,538,102
President,,Donald J. Trump,R,Charlestown 0504,438,89
President,,Donald J. Trump,R,Charlestown Limited,0,0
President,,Donald J. Trump,R,Charlestown Presidential,42,5
President,,Donald J. Trump,R,Coventry 0601,604,50
President,,Donald J. Trump,R,Coventry 0602,171,22
President,,Donald J. Trump,R,Coventry 0603,919,133
President,,Donald J. Trump,R,Coventry 0604,585,70
President,,Donald J. Trump,R,Coventry 0605,654,67
President,,Donald J. Trump,R,Coventry 0606,425,45
President,,Donald J. Trump,R,Coventry 0607,842,99
President,,Donald J. Trump,R,Coventry 0608,793,76
President,,Donald J. Trump,R,Coventry 0609,653,87
President,,Donald J. Trump,R,Coventry 0610,362,45
President,,Donald J. Trump,R,Coventry 0611,568,79
President,,Donald J. Trump,R,Coventry 0612,585,79
President,,Donald J. Trump,R,Coventry 0613,507,86
President,,Donald J. Trump,R,Coventry 0614,245,71
President,,Donald J. Trump,R,Coventry 0615,691,81
President,,Donald J. Trump,R,Coventry 0616,784,107
President,,Donald J. Trump,R,Coventry 0617,606,62
President,,Donald J. Trump,R,Coventry 0618,307,31
President,,Donald J. Trump,R,Coventry Limited,0,0
President,,Donald J. Trump,R,Coventry Presidential,160,2
President,,Donald J. Trump,R,Cranston 0701,547,83
President,,Donald J. Trump,R,Cranston 0702,458,67
President,,Donald J. Trump,R,Cranston 0703,520,69
President,,Donald J. Trump,R,Cranston 0704,119,23
President,,Donald J. Trump,R,Cranston 0705,145,16
President,,Donald J. Trump,R,Cranston 0706,1131,189
President,,Donald J. Trump,R,Cranston 0707,1012,141
President,,Donald J. Trump,R,Cranston 0708,965,193
President,,Donald J. Trump,R,Cranston 0709,1189,226
President,,Donald J. Trump,R,Cranston 0710,533,91
